1,// overworld map
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,1,0
0,1,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,13
0,1,14
0,1,15
0,1,16
0,1,17
0,1,18
0,1,19
0,2,0
0,2,1
0,2,9
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,2,18
0,2,19
0,3,0
0,3,1
0,3,9
0,3,10
0,3,11
0,3,12
0,3,13
0,3,14
0,3,18
0,3,19
0,4,0
0,4,1
0,4,4
0,4,5
0,4,6
0,4,9
0,4,10
0,4,11
0,4,12
0,4,13
0,4,14
0,4,18
0,4,19
0,5,0
0,5,1
0,5,4
0,5,5
0,5,6
0,5,9
0,5,10
0,5,11
0,5,12
0,5,13
0,5,14
0,5,18
0,5,19
0,6,0
0,6,1
0,6,4
0,6,5
0,6,6
0,6,11
0,6,12
0,6,13
0,6,14
0,6,18
0,6,19
0,7,0
0,7,1
0,7,4
0,7,5
0,7,6
0,7,11
0,7,12
0,7,13
0,7,14
0,7,18
0,7,19
0,8,0
0,8,1
0,8,4
0,8,5
0,8,6
0,8,11
0,8,12
0,8,13
0,8,14
0,8,18
0,8,19
0,9,0
0,9,1
0,9,11
0,9,12
0,9,13
0,9,14
0,9,18
0,9,19
0,10,0
0,10,1
0,10,11
0,10,12
0,10,13
0,10,14
0,10,18
0,10,19
0,11,0
0,11,1
0,11,11
0,11,12
0,11,13
0,11,14
0,11,18
0,11,19
0,12,0
0,12,1
0,12,18
0,12,19
0,13,0
0,13,1
0,13,3
0,13,4
0,13,5
0,13,18
0,13,19
0,14,0
0,14,1
0,14,3
0,14,4
0,14,5
0,14,8
0,14,11
0,14,18
0,14,19
0,15,0
0,15,1
0,15,3
0,15,4
0,15,5
0,15,8
0,15,11
0,15,18
0,15,19
0,16,0
0,16,1
0,16,3
0,16,4
0,16,5
0,16,8
0,16,11
0,16,18
0,16,19
0,17,0
0,17,1
0,17,3
0,17,4
0,17,5
0,17,8
0,17,11
0,17,18
0,17,19
0,18,0
0,18,1
0,18,8
0,18,11
0,18,18
0,18,19
0,19,0
0,19,1
0,19,8
0,19,11
0,19,18
0,19,19
0,20,0
0,20,1
0,20,8
0,20,11
0,20,18
0,20,19
0,21,0
0,21,1
0,21,8
0,21,11
0,21,18
0,21,19
0,22,0
0,22,1
0,22,8
0,22,11
0,22,18
0,22,19
0,23,0
0,23,1
0,23,8
0,23,11
0,23,18
0,23,19
0,24,0
0,24,1
0,24,18
0,24,19
0,25,0
0,25,1
0,25,18
0,25,19
0,26,0
0,26,1
0,26,18
0,26,19
0,27,0
0,27,1
0,27,12
0,27,13
0,27,14
0,27,15
0,27,18
0,27,19
0,28,0
0,28,1
0,28,2
0,28,3
0,28,4
0,28,5
0,28,6
0,28,7
0,28,8
0,28,11
0,28,12
0,28,13
0,28,14
0,28,15
0,28,16
0,28,17
0,28,18
0,28,19
0,29,0
0,29,1
0,29,2
0,29,3
0,29,4
0,29,5
0,29,6
0,29,7
0,29,8
0,29,11
0,29,12
0,29,13
0,29,14
0,29,15
0,29,16
0,29,17
0,29,18
0,29,19
0,30,0
0,30,1
0,30,2
0,30,3
0,30,4
0,30,5
0,30,6
0,30,7
0,30,8
0,30,11
0,30,12
0,30,13
0,30,14
0,30,15
0,30,16
0,30,17
0,30,18
0,30,19
0,31,0
0,31,1
0,31,2
0,31,3
0,31,4
0,31,5
0,31,6
0,31,7
0,31,8
0,31,11
0,31,12
0,31,13
0,31,14
0,31,15
0,31,16
0,31,17
0,31,18
0,31,19
0,32,0
0,32,1
0,32,2
0,32,3
0,32,4
0,32,5
0,32,11
0,32,12
0,32,13
0,32,14
0,32,15
0,32,16
0,32,17
0,32,18
0,32,19
0,33,0
0,33,1
0,33,2
0,33,3
0,33,4
0,33,5
0,33,11
0,33,12
0,33,13
0,33,14
0,33,15
0,33,16
0,33,17
0,33,18
0,33,19
0,34,0
0,34,1
0,34,2
0,34,3
0,34,12
0,34,13
0,34,14
0,34,15
0,34,16
0,34,17
0,34,18
0,34,19
0,35,0
0,35,1
0,35,2
0,35,3
0,35,7
0,35,13
0,35,14
0,35,15
0,35,16
0,35,17
0,35,18
0,35,19
0,36,0
0,36,1
0,36,2
0,36,3
0,36,7
0,36,13
0,36,14
0,36,15
0,36,16
0,36,17
0,36,18
0,36,19
0,37,0
0,37,1
0,37,2
0,37,3
0,37,12
0,37,13
0,37,14
0,37,15
0,37,16
0,37,17
0,37,18
0,37,19
0,38,0
0,38,1
0,38,2
0,38,3
0,38,12
0,38,13
0,38,14
0,38,15
0,38,16
0,38,17
0,38,18
0,38,19
0,39,0
0,39,1
0,39,2
0,39,3
0,39,9
0,39,13
0,39,14
0,39,15
0,39,16
0,39,17
0,39,18
0,39,19
0,40,0
0,40,1
0,40,2
0,40,3
0,40,9
0,40,12
0,40,13
0,40,14
0,40,15
0,40,16
0,40,17
0,40,18
0,40,19
0,41,0
0,41,1
0,41,2
0,41,3
0,41,9
0,41,13
0,41,14
0,41,15
0,41,16
0,41,17
0,41,18
0,41,19
0,42,0
0,42,1
0,42,2
0,42,3
0,42,6
0,42,9
0,42,13
0,42,14
0,42,15
0,42,16
0,42,17
0,42,18
0,42,19
0,43,0
0,43,1
0,43,2
0,43,3
0,43,13
0,43,14
0,43,15
0,43,16
0,43,17
0,43,18
0,43,19
0,44,0
0,44,1
0,44,2
0,44,3
0,44,13
0,44,14
0,44,15
0,44,16
0,44,17
0,44,18
0,44,19
0,45,0
0,45,1
0,45,2
0,45,3
0,45,7
0,45,13
0,45,14
0,45,15
0,45,16
0,45,17
0,45,18
0,45,19
0,46,0
0,46,1
0,46,2
0,46,3
0,46,7
0,46,13
0,46,14
0,46,15
0,46,16
0,46,17
0,46,18
0,46,19
0,47,0
0,47,1
0,47,2
0,47,3
0,47,13
0,47,14
0,47,15
0,47,16
0,47,17
0,47,18
0,47,19
0,48,0
0,48,1
0,48,2
0,48,3
0,48,4
0,48,5
0,48,6
0,48,7
0,48,8
0,48,9
0,48,10
0,48,11
0,48,12
0,48,13
0,48,14
0,48,15
0,48,16
0,48,17
0,48,18
0,48,19
0,49,0
0,49,1
0,49,2
0,49,3
0,49,4
0,49,5
0,49,6
0,49,7
0,49,8
0,49,9
0,49,10
0,49,11
0,49,12
0,49,13
0,49,14
0,49,15
0,49,16
0,49,17
0,49,18
0,49,19
1,//house 01
0,100,0
0,100,1
0,100,2
0,100,3
0,100,4
0,100,5
0,100,6
0,100,7
0,100,8
0,100,9
0,100,10
0,101,0
0,101,1
0,101,2
0,101,3
0,101,10
0,102,0
0,102,1
0,102,2
0,102,3
0,102,10
0,103,0
0,103,1
0,103,2
0,103,3
0,103,10
0,104,0
0,104,1
0,104,2
0,104,3
0,104,10
0,105,0
0,105,1
0,105,2
0,105,10
0,106,0
0,106,1
0,106,2
0,106,10
0,107,0
0,107,1
0,107,2
0,107,3
0,107,5
0,107,7
0,107,8
0,107,10
0,108,0
0,108,1
0,108,2
0,108,3
0,108,5
0,108,7
0,108,8
0,108,10
0,109,0
0,109,1
0,109,2
0,109,3
0,109,5
0,109,10
0,110,0
0,110,1
0,110,2
0,110,3
0,110,10
0,111,0
0,111,1
0,111,2
0,111,3
0,111,10
0,112,0
0,112,1
0,112,2
0,112,3
0,112,4
0,112,5
0,112,6
0,112,7
0,112,8
0,112,9
0,112,10
1,//house02
0,200,0
0,200,1
0,200,2
0,200,3
0,200,4
0,200,5
0,200,6
0,200,7
0,200,8
0,200,9
0,200,10
0,201,0
0,201,1
0,201,2
0,201,3
0,201,10
0,202,0
0,202,1
0,202,2
0,202,3
0,202,10
0,203,0
0,203,1
0,203,2
0,203,3
0,203,5
0,203,10
0,204,0
0,204,1
0,204,2
0,204,3
0,204,5
0,204,7
0,204,8
0,204,10
0,205,0
0,205,1
0,205,2
0,205,3
0,205,5
0,205,7
0,205,8
0,205,10
0,206,0
0,206,1
0,206,2
0,206,10
0,207,0
0,207,1
0,207,2
0,207,10
0,208,0
0,208,1
0,208,2
0,208,3
0,208,10
0,209,0
0,209,1
0,209,2
0,209,3
0,209,10
0,210,0
0,210,1
0,210,2
0,210,3
0,210,10
0,211,0
0,211,1
0,211,2
0,211,3
0,211,10
0,212,0
0,212,1
0,212,2
0,212,3
0,212,4
0,212,5
0,212,6
0,212,7
0,212,8
0,212,9
0,212,10
1,//professor's house
0,300,0
0,300,1
0,300,2
0,300,3
0,300,4
0,300,5
0,300,6
0,300,7
0,300,8
0,300,9
0,300,10
0,300,11
0,300,12
0,300,13
0,300,14
0,301,0
0,301,1
0,301,2
0,301,3
0,301,4
0,301,7
0,301,8
0,301,11
0,301,12
0,301,14
0,302,0
0,302,1
0,302,2
0,302,7
0,302,8
0,302,10
0,302,11
0,302,12
0,302,14
0,303,0
0,303,1
0,303,2
0,303,3
0,303,7
0,303,8
0,303,14
0,304,0
0,304,1
0,304,2
0,304,7
0,304,8
0,304,13
0,304,14
0,305,0
0,305,1
0,305,2
0,305,14
0,306,0
0,306,1
0,306,2
0,306,14
0,307,0
0,307,1
0,307,2
0,307,14
0,308,0
0,308,1
0,308,2
0,308,14
0,309,0
0,309,1
0,309,2
0,309,14
0,310,0
0,310,1
0,310,2
0,310,4
0,310,5
0,310,14
0,311,0
0,311,1
0,311,2
0,311,5
0,311,7
0,311,8
0,311,14
0,312,0
0,312,1
0,312,2
0,312,3
0,312,7
0,312,8
0,312,10
0,312,11
0,312,12
0,312,14
0,313,0
0,313,1
0,313,2
0,313,3
0,313,4
0,313,8
0,313,10
0,313,11
0,313,12
0,313,14
0,314,0
0,314,1
0,314,2
0,314,3
0,314,4
0,314,5
0,314,6
0,314,7
0,314,8
0,314,9
0,314,10
0,314,11
0,314,12
0,314,13
0,314,14
